105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
03194B,兆熊HP,0,0,0,--,--,--,--,,0.00,--,0,--,0,"8,156.96"
03197B,元熊Z1,"4,059,000",188,"5,096,490",1.23,1.29,1.22,1.24,＋,0.03,1.23,500,1.24,485,"8,156.96"
03198B,兆熊B6,0,0,0,--,--,--,--,,0.00,--,0,--,0,"8,156.96"
="031991",70統一,"248,000",8,"77,970",0.33,0.35,0.31,0.35,＋,0.03,0.33,10,0.38,8,144.00
03199B,兆熊B7,0,0,0,--,--,--,--,,0.00,--,0,--,0,"8,156.96"
03200B,元熊01,"255,000",15,"399,820",1.56,1.59,1.55,1.56,＋,0.02,1.55,495,1.56,495,"8,156.96"
03201B,2U兆熊,0,0,0,--,--,--,--,,0.00,--,0,--,0,"8,156.96"
03202B,元熊11,"180,000",3,"361,400",2.00,2.02,1.98,2.02,＋,0.05,1.99,495,2.00,495,"8,156.96"
03203B,兆熊31,0,0,0,--,--,--,--,,0.00,--,0,--,0,"8,156.96"
="032044",J2元富,0,0,0,--,--,--,--,,0.00,0.65,25,0.75,10,51.90
03204B,群熊AA,"644,000",10,"996,810",1.54,1.58,1.53,1.57,＋,0.05,1.53,499,1.54,499,"8,156.96"
03205B,凱熊40,0,0,0,--,--,--,--,,0.00,3.05,30,3.06,30,"8,156.96"
="032065",72統一,"200,000",1,"2,000",0.01,0.01,0.01,0.01,－,0.01,0.01,10,0.02,2517,210.00
03206B,凱熊41,0,0,0,--,--,--,--,,0.00,3.56,30,3.57,30,"8,156.96"
="032079",NM凱基,0,0,0,--,--,--,--,,0.00,--,0,0.01,420,252.00
03207B,CU兆熊,"526,000",7,"743,610",1.40,1.44,1.39,1.44,＋,0.07,--,0,--,0,"8,156.96"
="032088",NS凱基,0,0,0,--,--,--,--,,0.00,--,0,0.10,80,53.60
03208B,群熊AB,"573,000",23,"1,372,230",2.36,2.45,2.31,2.35,＋,0.06,2.32,499,2.33,499,"8,156.96"
03209B,凱熊42,"109,000",24,"280,880",2.61,2.64,2.54,2.62,＋,0.12,2.57,30,2.58,30,"8,156.96"
03210B,元熊21,"16,000",5,"27,040",1.66,1.71,1.66,1.66,＋,0.02,1.65,495,1.66,495,"8,156.96"
03211B,元熊31,"386,000",25,"591,570",1.53,1.56,1.51,1.53,＋,0.04,1.51,495,1.52,495,"8,156.96"
03212B,KJ兆熊,"85,000",4,"103,850",1.21,1.23,1.18,1.23,＋,0.07,1.18,5,1.37,50,"8,156.96"
03213B,群熊AC,"126,000",19,"258,030",2.04,2.12,2.00,2.02,＋,0.02,2.01,499,2.02,499,"8,156.96"
03214B,元熊48,"2,000",1,"3,580",1.79,1.79,1.79,1.79,＋,0.09,1.73,495,1.74,495,913.64
="032284",80統一,0,0,0,--,--,--,--,,0.00,0.01,20,0.10,20,28.45
="032285",81統一,0,0,0,--,--,--,--,,0.00,0.01,20,0.08,30,210.00
="032286",82統一,"554,000",7,"16,620",0.03,0.03,0.03,0.03,,0.00,0.03,10,0.04,206,28.45
="032318",N6元富,0,0,0,--,--,--,--,,0.00,--,0,--,0,64.70
="032340",88統一,0,0,0,--,--,--,--,,0.00,0.01,6497,0.02,141,59.55
="032388",89統一,"20,000",1,200,0.01,0.01,0.01,0.01,X,0.00,0.01,7590,0.02,702,252.00
="032457",90統一,0,0,0,--,--,--,--,,0.00,0.01,7404,0.02,76,79.50
="032536",富邦29,0,0,0,--,--,--,--,,0.00,0.01,10,0.10,10,79.50
="032547",97統一,"400,000",2,"4,000",0.01,0.01,0.01,0.01,X,0.00,0.01,20,0.02,38,"2,350.00"
